Word,Rank,Frequency,Pr(%),r*Pr
sunshine,7238,7,0.0%,0.075628
entomologist,7239,7,0.0%,0.075639
tres,7240,7,0.0%,0.075649
sunset,7241,7,0.0%,0.075659
drain,7242,7,0.0%,0.075670
campaigners,7243,7,0.0%,0.075680
justin,7244,7,0.0%,0.075691
sparrow,7245,7,0.0%,0.075701
j,7246,7,0.0%,0.075712
expectation,7247,7,0.0%,0.075722
contradicts,7248,7,0.0%,0.075733
paralysis,7249,7,0.0%,0.075743
dancing,7250,7,0.0%,0.075754
sixth,7251,7,0.0%,0.075764
wendy,7252,7,0.0%,0.075774
astrophysicist,7253,7,0.0%,0.075785
ionosphere,7254,7,0.0%,0.075795
anticipating,7255,7,0.0%,0.075806
relied,7256,7,0.0%,0.075816
collective,7257,7,0.0%,0.075827
trilobites,7258,7,0.0%,0.075837
perelman,7259,7,0.0%,0.075848
ratings,7260,7,0.0%,0.075858
hewitt,7261,7,0.0%,0.075868
verbal,7262,7,0.0%,0.075879
palaeontology,7263,7,0.0%,0.075889
revolution,7264,7,0.0%,0.075900
steadily,7265,7,0.0%,0.075910
hopfield,7266,7,0.0%,0.075921
unemployment,7267,7,0.0%,0.075931
helgen,7268,7,0.0%,0.075942
gerald,7269,7,0.0%,0.075952
peptides,7270,7,0.0%,0.075962
isa,7271,7,0.0%,0.075973
toy,7272,7,0.0%,0.075983
earwax,7273,7,0.0%,0.075994
unnecessary,7274,7,0.0%,0.076004
panda,7275,7,0.0%,0.076015
inflated,7276,7,0.0%,0.076025
conservationists,7277,7,0.0%,0.076036
gentle,7278,7,0.0%,0.076046
methanol,7279,7,0.0%,0.076057
kench,7280,7,0.0%,0.076067
sore,7281,7,0.0%,0.076077
anticipate,7282,7,0.0%,0.076088
polynesians,7283,7,0.0%,0.076098
artificially,7284,7,0.0%,0.076109
cox,7285,7,0.0%,0.076119
neighbour,7286,7,0.0%,0.076130
transportation,7287,7,0.0%,0.076140
tuning,7288,7,0.0%,0.076151
dendritic,7289,7,0.0%,0.076161
feedback,7290,7,0.0%,0.076171
bids,7291,7,0.0%,0.076182
buyback,7292,7,0.0%,0.076192
webb,7293,7,0.0%,0.076203
interim,7294,7,0.0%,0.076213
frustration,7295,7,0.0%,0.076224
synchrotron,7296,7,0.0%,0.076234
leakey,7297,7,0.0%,0.076245
pgd,7298,7,0.0%,0.076255
geneva,7299,7,0.0%,0.076265
epa,7300,7,0.0%,0.076276
compliance,7301,7,0.0%,0.076286
harness,7302,7,0.0%,0.076297
zooplankton,7303,7,0.0%,0.076307
emitting,7304,7,0.0%,0.076318
citing,7305,7,0.0%,0.076328
tiefer,7306,7,0.0%,0.076339
occupational,7307,7,0.0%,0.076349
drafting,7308,7,0.0%,0.076360
farmland,7309,7,0.0%,0.076370
speculated,7310,7,0.0%,0.076380
structured,7311,7,0.0%,0.076391
vodka,7312,7,0.0%,0.076401
baxter,7313,7,0.0%,0.076412
lows,7314,7,0.0%,0.076422
jacket,7315,7,0.0%,0.076433
dealers,7316,7,0.0%,0.076443
alleviate,7317,7,0.0%,0.076454
forage,7318,7,0.0%,0.076464
pineapple,7319,7,0.0%,0.076474
burrows,7320,7,0.0%,0.076485
filling,7321,7,0.0%,0.076495
southwest,7322,7,0.0%,0.076506
touring,7323,7,0.0%,0.076516
livers,7324,7,0.0%,0.076527
geometric,7325,7,0.0%,0.076537
siblings,7326,7,0.0%,0.076548
fuelled,7327,7,0.0%,0.076558
comfort,7328,7,0.0%,0.076569
prince,7329,7,0.0%,0.076579
recall,7330,7,0.0%,0.076589
graft,7331,7,0.0%,0.076600
observer,7332,7,0.0%,0.076610
sail,7333,7,0.0%,0.076621
chuck,7334,7,0.0%,0.076631
eel,7335,7,0.0%,0.076642
preserving,7336,7,0.0%,0.076652
compost,7337,7,0.0%,0.076663
adolescent,7338,7,0.0%,0.076673
drilling,7339,7,0.0%,0.076683
owen,7340,7,0.0%,0.076694
exploding,7341,7,0.0%,0.076704
charcoal,7342,7,0.0%,0.076715
recognising,7343,7,0.0%,0.076725
hawaiian,7344,7,0.0%,0.076736
rituals,7345,7,0.0%,0.076746
progression,7346,7,0.0%,0.076757
oslo,7347,7,0.0%,0.076767
portion,7348,7,0.0%,0.076777
recruit,7349,7,0.0%,0.076788
nanotubes,7350,7,0.0%,0.076798
sogin,7351,7,0.0%,0.076809
uuml,7352,7,0.0%,0.076819
upgrades,7353,7,0.0%,0.076830
investor,7354,7,0.0%,0.076840
occurrence,7355,7,0.0%,0.076851
fan,7356,7,0.0%,0.076861
plum,7357,7,0.0%,0.076872
climbing,7358,7,0.0%,0.076882
drew,7359,7,0.0%,0.076892
menindee,7360,7,0.0%,0.076903
softwood,7361,7,0.0%,0.076913
lands,7362,7,0.0%,0.076924
carbohydrate,7363,7,0.0%,0.076934
touched,7364,7,0.0%,0.076945
signing,7365,7,0.0%,0.076955
hastings,7366,7,0.0%,0.076966
proud,7367,7,0.0%,0.076976
nanoparticle,7368,7,0.0%,0.076986
acquire,7369,7,0.0%,0.076997
overlooked,7370,7,0.0%,0.077007
similarity,7371,7,0.0%,0.077018
foetuses,7372,7,0.0%,0.077028
enforceable,7373,7,0.0%,0.077039
cudeco,7374,7,0.0%,0.077049
ought,7375,7,0.0%,0.077060
cocker,7376,7,0.0%,0.077070
airlines,7377,7,0.0%,0.077080
jesus,7378,7,0.0%,0.077091
snowfall,7379,7,0.0%,0.077101
k,7380,7,0.0%,0.077112
conserve,7381,7,0.0%,0.077122
uncle,7382,7,0.0%,0.077133
murdoch,7383,7,0.0%,0.077143
resveratrol,7384,7,0.0%,0.077154
tennant,7385,7,0.0%,0.077164
wavelength,7386,7,0.0%,0.077175
picks,7387,7,0.0%,0.077185
sniff,7388,7,0.0%,0.077195
pearling,7389,7,0.0%,0.077206
composed,7390,7,0.0%,0.077216
swamps,7391,7,0.0%,0.077227
counted,7392,7,0.0%,0.077237
tiktaalik,7393,7,0.0%,0.077248
bracks,7394,7,0.0%,0.077258
poorer,7395,7,0.0%,0.077269
settlers,7396,7,0.0%,0.077279
staying,7397,7,0.0%,0.077289
boards,7398,7,0.0%,0.077300
consist,7399,7,0.0%,0.077310
speakers,7400,7,0.0%,0.077321
ploughing,7401,7,0.0%,0.077331
parameters,7402,7,0.0%,0.077342
slide,7403,7,0.0%,0.077352
gauge,7404,7,0.0%,0.077363
desired,7405,7,0.0%,0.077373
wallaby,7406,7,0.0%,0.077384
bailey,7407,7,0.0%,0.077394
regulators,7408,7,0.0%,0.077404
restaurants,7409,7,0.0%,0.077415
jong,7410,7,0.0%,0.077425
swordtails,7411,7,0.0%,0.077436
dire,7412,7,0.0%,0.077446
vertebrates,7413,7,0.0%,0.077457
gunns,7414,7,0.0%,0.077467
amendments,7415,7,0.0%,0.077478
sponge,7416,7,0.0%,0.077488
cheating,7417,7,0.0%,0.077498
probes,7418,7,0.0%,0.077509
maoa,7419,7,0.0%,0.077519
chefs,7420,7,0.0%,0.077530
ethically,7421,7,0.0%,0.077540
medications,7422,7,0.0%,0.077551
defense,7423,7,0.0%,0.077561
latitudes,7424,7,0.0%,0.077572
capitalise,7425,7,0.0%,0.077582
declaration,7426,7,0.0%,0.077592
catalogue,7427,7,0.0%,0.077603
v,7428,7,0.0%,0.077613
mt,7429,7,0.0%,0.077624
seawater,7430,7,0.0%,0.077634
zinifex,7431,7,0.0%,0.077645
upheld,7432,7,0.0%,0.077655
disputes,7433,7,0.0%,0.077666
questionnaire,7434,7,0.0%,0.077676
cautions,7435,7,0.0%,0.077687
olfactory,7436,7,0.0%,0.077697
zinn,7437,7,0.0%,0.077707
mere,7438,7,0.0%,0.077718
administered,7439,7,0.0%,0.077728
collusion,7440,7,0.0%,0.077739
microbe,7441,7,0.0%,0.077749
herself,7442,7,0.0%,0.077760
scope,7443,7,0.0%,0.077770
helmer,7444,7,0.0%,0.077781
humane,7445,7,0.0%,0.077791
printed,7446,7,0.0%,0.077801
mathematicians,7447,7,0.0%,0.077812
considerably,7448,7,0.0%,0.077822
pigeon,7449,7,0.0%,0.077833
liddicoat,7450,7,0.0%,0.077843
psychiatrists,7451,7,0.0%,0.077854
axes,7452,7,0.0%,0.077864
blowing,7453,7,0.0%,0.077875
answered,7454,7,0.0%,0.077885
fights,7455,7,0.0%,0.077896
müller,7456,7,0.0%,0.077906
relativity,7457,7,0.0%,0.077916
asthma,7458,7,0.0%,0.077927
maui,7459,7,0.0%,0.077937
irrigator,7460,7,0.0%,0.077948
elderly,7461,7,0.0%,0.077958
swim,7462,7,0.0%,0.077969
jews,7463,7,0.0%,0.077979
cousin,7464,7,0.0%,0.077990
pathogens,7465,7,0.0%,0.078000
screens,7466,7,0.0%,0.078010
shade,7467,7,0.0%,0.078021
rudd,7468,7,0.0%,0.078031
crunch,7469,7,0.0%,0.078042
elaborate,7470,7,0.0%,0.078052
underway,7471,7,0.0%,0.078063
covers,7472,7,0.0%,0.078073
uphill,7473,6,0.0%,0.066929
routinely,7474,6,0.0%,0.066938
permafrost,7475,6,0.0%,0.066947
grocery,7476,6,0.0%,0.066956
sandra,7477,6,0.0%,0.066965
mosaic,7478,6,0.0%,0.066974
motions,7479,6,0.0%,0.066983
equalisation,7480,6,0.0%,0.066991
freeloaders,7481,6,0.0%,0.067000
haul,7482,6,0.0%,0.067009
blakers,7483,6,0.0%,0.067018
outgoing,7484,6,0.0%,0.067027
iconic,7485,6,0.0%,0.067036
reservoir,7486,6,0.0%,0.067045
submit,7487,6,0.0%,0.067054
treder,7488,6,0.0%,0.067063
flystrike,7489,6,0.0%,0.067072
hat,7490,6,0.0%,0.067081
residues,7491,6,0.0%,0.067090
exemptions,7492,6,0.0%,0.067099
inquiries,7493,6,0.0%,0.067108
yielding,7494,6,0.0%,0.067117
elizabeth,7495,6,0.0%,0.067126
resnick,7496,6,0.0%,0.067135
honest,7497,6,0.0%,0.067144
donors,7498,6,0.0%,0.067153
robotics,7499,6,0.0%,0.067162
profiles,7500,6,0.0%,0.067171
soared,7501,6,0.0%,0.067180
sharply,7502,6,0.0%,0.067189
attracting,7503,6,0.0%,0.067197
jewish,7504,6,0.0%,0.067206
blade,7505,6,0.0%,0.067215
tonga,7506,6,0.0%,0.067224
grapevines,7507,6,0.0%,0.067233
cebis,7508,6,0.0%,0.067242
summers,7509,6,0.0%,0.067251
grades,7510,6,0.0%,0.067260
mites,7511,6,0.0%,0.067269
instances,7512,6,0.0%,0.067278
awaiting,7513,6,0.0%,0.067287
alternatively,7514,6,0.0%,0.067296
tiger,7515,6,0.0%,0.067305
supportive,7516,6,0.0%,0.067314
biotech,7517,6,0.0%,0.067323
imminent,7518,6,0.0%,0.067332
occupation,7519,6,0.0%,0.067341
valid,7520,6,0.0%,0.067350
sunspot,7521,6,0.0%,0.067359
geographic,7522,6,0.0%,0.067368
interactions,7523,6,0.0%,0.067377
loading,7524,6,0.0%,0.067386
swamp,7525,6,0.0%,0.067394
enjoying,7526,6,0.0%,0.067403
holiday,7527,6,0.0%,0.067412
schmidt,7528,6,0.0%,0.067421
orchardists,7529,6,0.0%,0.067430
progressive,7530,6,0.0%,0.067439
os,7531,6,0.0%,0.067448
tr,7532,6,0.0%,0.067457
taxpayers,7533,6,0.0%,0.067466
jalland,7534,6,0.0%,0.067475
ted,7535,6,0.0%,0.067484
regain,7536,6,0.0%,0.067493
aphid,7537,6,0.0%,0.067502
homework,7538,6,0.0%,0.067511
ranged,7539,6,0.0%,0.067520
enters,7540,6,0.0%,0.067529
toothed,7541,6,0.0%,0.067538
pulls,7542,6,0.0%,0.067547
hears,7543,6,0.0%,0.067556
courses,7544,6,0.0%,0.067565
volatile,7545,6,0.0%,0.067574
presenting,7546,6,0.0%,0.067583
jessica,7547,6,0.0%,0.067592
frustrations,7548,6,0.0%,0.067600
conceive,7549,6,0.0%,0.067609
formula,7550,6,0.0%,0.067618
favours,7551,6,0.0%,0.067627
olds,7552,6,0.0%,0.067636
sat,7553,6,0.0%,0.067645
frightened,7554,6,0.0%,0.067654
zircons,7555,6,0.0%,0.067663
anthrax,7556,6,0.0%,0.067672
recycle,7557,6,0.0%,0.067681
habits,7558,6,0.0%,0.067690
inflation,7559,6,0.0%,0.067699
colliding,7560,6,0.0%,0.067708
conviction,7561,6,0.0%,0.067717
permit,7562,6,0.0%,0.067726
rubin,7563,6,0.0%,0.067735
wrap,7564,6,0.0%,0.067744
maywald,7565,6,0.0%,0.067753
summerfruit,7566,6,0.0%,0.067762
plagued,7567,6,0.0%,0.067771
sustainably,7568,6,0.0%,0.067780
lends,7569,6,0.0%,0.067789
actors,7570,6,0.0%,0.067798
endorse,7571,6,0.0%,0.067806
photoreceptors,7572,6,0.0%,0.067815
saudi,7573,6,0.0%,0.067824
protecting,7574,6,0.0%,0.067833
refers,7575,6,0.0%,0.067842
berg,7576,6,0.0%,0.067851
implicated,7577,6,0.0%,0.067860
tracing,7578,6,0.0%,0.067869
greenfield,7579,6,0.0%,0.067878
pollination,7580,6,0.0%,0.067887
flung,7581,6,0.0%,0.067896
helpful,7582,6,0.0%,0.067905
geneticist,7583,6,0.0%,0.067914
themes,7584,6,0.0%,0.067923
defeat,7585,6,0.0%,0.067932
dancers,7586,6,0.0%,0.067941
whistles,7587,6,0.0%,0.067950
dusty,7588,6,0.0%,0.067959
zeil,7589,6,0.0%,0.067968
robin,7590,6,0.0%,0.067977
implanting,7591,6,0.0%,0.067986
qualify,7592,6,0.0%,0.067995
physically,7593,6,0.0%,0.068004
radicals,7594,6,0.0%,0.068012
belgian,7595,6,0.0%,0.068021
magellan,7596,6,0.0%,0.068030
blitz,7597,6,0.0%,0.068039
advertisements,7598,6,0.0%,0.068048
anomaly,7599,6,0.0%,0.068057
diplomatic,7600,6,0.0%,0.068066
nurseries,7601,6,0.0%,0.068075
photosynthesis,7602,6,0.0%,0.068084
hardening,7603,6,0.0%,0.068093
leviathan,7604,6,0.0%,0.068102
p,7605,6,0.0%,0.068111
sixty,7606,6,0.0%,0.068120
pahs,7607,6,0.0%,0.068129
kay,7608,6,0.0%,0.068138
naturalist,7609,6,0.0%,0.068147
string,7610,6,0.0%,0.068156
curve,7611,6,0.0%,0.068165
millennia,7612,6,0.0%,0.068174
impressed,7613,6,0.0%,0.068183
custom,7614,6,0.0%,0.068192
suck,7615,6,0.0%,0.068201
se,7616,6,0.0%,0.068210
suspicion,7617,6,0.0%,0.068218
decreasing,7618,6,0.0%,0.068227
withdrawing,7619,6,0.0%,0.068236
bronze,7620,6,0.0%,0.068245
prevents,7621,6,0.0%,0.068254
petition,7622,6,0.0%,0.068263
priced,7623,6,0.0%,0.068272
mongering,7624,6,0.0%,0.068281
bacchus,7625,6,0.0%,0.068290
wedge,7626,6,0.0%,0.068299
hardware,7627,6,0.0%,0.068308
jefferies,7628,6,0.0%,0.068317
accounting,7629,6,0.0%,0.068326
wattle,7630,6,0.0%,0.068335
queenslander,7631,6,0.0%,0.068344
gagliardo,7632,6,0.0%,0.068353
acquisition,7633,6,0.0%,0.068362
foothold,7634,6,0.0%,0.068371
woes,7635,6,0.0%,0.068380
shaping,7636,6,0.0%,0.068389
superfine,7637,6,0.0%,0.068398
bosses,7638,6,0.0%,0.068407
figured,7639,6,0.0%,0.068415
interviewed,7640,6,0.0%,0.068424
dim,7641,6,0.0%,0.068433
blocking,7642,6,0.0%,0.068442
carting,7643,6,0.0%,0.068451
johns,7644,6,0.0%,0.068460
allegedly,7645,6,0.0%,0.068469
cardboard,7646,6,0.0%,0.068478
individually,7647,6,0.0%,0.068487
patchy,7648,6,0.0%,0.068496
pga,7649,6,0.0%,0.068505
louis,7650,6,0.0%,0.068514
hull,7651,6,0.0%,0.068523
composite,7652,6,0.0%,0.068532
plough,7653,6,0.0%,0.068541
fig,7654,6,0.0%,0.068550
isisfordia,7655,6,0.0%,0.068559
swings,7656,6,0.0%,0.068568
tgn,7657,6,0.0%,0.068577
pathologist,7658,6,0.0%,0.068586
axup,7659,6,0.0%,0.068595
carved,7660,6,0.0%,0.068604
bowen,7661,6,0.0%,0.068613
suzuki,7662,6,0.0%,0.068621
bind,7663,6,0.0%,0.068630
accompanied,7664,6,0.0%,0.068639
mistake,7665,6,0.0%,0.068648
rubbing,7666,6,0.0%,0.068657
beak,7667,6,0.0%,0.068666
inhabit,7668,6,0.0%,0.068675
taubenberger,7669,6,0.0%,0.068684
instantly,7670,6,0.0%,0.068693
stranded,7671,6,0.0%,0.068702
karlene,7672,6,0.0%,0.068711
fraunhofer,7673,6,0.0%,0.068720
karkanas,7674,6,0.0%,0.068729
hover,7675,6,0.0%,0.068738
leon,7676,6,0.0%,0.068747
inevitable,7677,6,0.0%,0.068756
mapped,7678,6,0.0%,0.068765
jennifer,7679,6,0.0%,0.068774
depict,7680,6,0.0%,0.068783
describing,7681,6,0.0%,0.068792
coasts,7682,6,0.0%,0.068801
plausible,7683,6,0.0%,0.068810
couples,7684,6,0.0%,0.068819
ellis,7685,6,0.0%,0.068827
tired,7686,6,0.0%,0.068836
commentators,7687,6,0.0%,0.068845
destroys,7688,6,0.0%,0.068854
belly,7689,6,0.0%,0.068863
audits,7690,6,0.0%,0.068872
deliberate,7691,6,0.0%,0.068881
oyster,7692,6,0.0%,0.068890
inspected,7693,6,0.0%,0.068899
sink,7694,6,0.0%,0.068908
tightly,7695,6,0.0%,0.068917
voiceless,7696,6,0.0%,0.068926
scramjet,7697,6,0.0%,0.068935
fallout,7698,6,0.0%,0.068944
masters,7699,6,0.0%,0.068953
anders,7700,6,0.0%,0.068962
acceleration,7701,6,0.0%,0.068971
cuthbertson,7702,6,0.0%,0.068980
livecorp,7703,6,0.0%,0.068989
dental,7704,6,0.0%,0.068998
considerations,7705,6,0.0%,0.069007
withdraw,7706,6,0.0%,0.069016
microwave,7707,6,0.0%,0.069025
symptom,7708,6,0.0%,0.069033
correlate,7709,6,0.0%,0.069042
workchoices,7710,6,0.0%,0.069051
outraged,7711,6,0.0%,0.069060
terminator,7712,6,0.0%,0.069069
distress,7713,6,0.0%,0.069078
acoustic,7714,6,0.0%,0.069087
mri,7715,6,0.0%,0.069096
beforehand,7716,6,0.0%,0.069105
parthenogenesis,7717,6,0.0%,0.069114
mesozoic,7718,6,0.0%,0.069123
frustrating,7719,6,0.0%,0.069132
dish,7720,6,0.0%,0.069141
immunology,7721,6,0.0%,0.069150
obscured,7722,6,0.0%,0.069159
correctly,7723,6,0.0%,0.069168
sequenced,7724,6,0.0%,0.069177
impressive,7725,6,0.0%,0.069186
keys,7726,6,0.0%,0.069195
anonymous,7727,6,0.0%,0.069204
vitro,7728,6,0.0%,0.069213
siv,7729,6,0.0%,0.069222
wedges,7730,6,0.0%,0.069230
brady,7731,6,0.0%,0.069239
lawmakers,7732,6,0.0%,0.069248
ekka,7733,6,0.0%,0.069257
coincided,7734,6,0.0%,0.069266
replicated,7735,6,0.0%,0.069275
keratin,7736,6,0.0%,0.069284
stays,7737,6,0.0%,0.069293
tablelands,7738,6,0.0%,0.069302
balmy,7739,6,0.0%,0.069311
triassic,7740,6,0.0%,0.069320
suspicious,7741,6,0.0%,0.069329
grids,7742,6,0.0%,0.069338
hollywood,7743,6,0.0%,0.069347
lighter,7744,6,0.0%,0.069356
iceland,7745,6,0.0%,0.069365
upright,7746,6,0.0%,0.069374
whinnies,7747,6,0.0%,0.069383
sars,7748,6,0.0%,0.069392
formerly,7749,6,0.0%,0.069401
manages,7750,6,0.0%,0.069410
cruz,7751,6,0.0%,0.069419
smokers,7752,6,0.0%,0.069428
bleak,7753,6,0.0%,0.069436
repel,7754,6,0.0%,0.069445
deprived,7755,6,0.0%,0.069454
outweigh,7756,6,0.0%,0.069463
larsen,7757,6,0.0%,0.069472
ranger,7758,6,0.0%,0.069481
spontaneous,7759,6,0.0%,0.069490
trawling,7760,6,0.0%,0.069499
posts,7761,6,0.0%,0.069508
phrase,7762,6,0.0%,0.069517
solely,7763,6,0.0%,0.069526
stockman,7764,6,0.0%,0.069535
avenue,7765,6,0.0%,0.069544
equine,7766,6,0.0%,0.069553
allergies,7767,6,0.0%,0.069562
hiding,7768,6,0.0%,0.069571
nicole,7769,6,0.0%,0.069580
gaps,7770,6,0.0%,0.069589
alpine,7771,6,0.0%,0.069598
detectable,7772,6,0.0%,0.069607
profitability,7773,6,0.0%,0.069616
decreases,7774,6,0.0%,0.069625
singing,7775,6,0.0%,0.069634
wooden,7776,6,0.0%,0.069642
batfish,7777,6,0.0%,0.069651
enabling,7778,6,0.0%,0.069660
kolb,7779,6,0.0%,0.069669
abbott,7780,6,0.0%,0.069678
regulates,7781,6,0.0%,0.069687
paranormal,7782,6,0.0%,0.069696
sightings,7783,6,0.0%,0.069705
wellbeing,7784,6,0.0%,0.069714
modification,7785,6,0.0%,0.069723
wyndham,7786,6,0.0%,0.069732
ed,7787,6,0.0%,0.069741
downer,7788,6,0.0%,0.069750
snapped,7789,6,0.0%,0.069759
soup,7790,6,0.0%,0.069768
earmarked,7791,6,0.0%,0.069777
odours,7792,6,0.0%,0.069786
twin,7793,6,0.0%,0.069795
copied,7794,6,0.0%,0.069804
balls,7795,6,0.0%,0.069813
antigens,7796,6,0.0%,0.069822
lobbying,7797,6,0.0%,0.069831
chapman,7798,6,0.0%,0.069840
eventual,7799,6,0.0%,0.069848
troubled,7800,6,0.0%,0.069857
commands,7801,6,0.0%,0.069866
library,7802,6,0.0%,0.069875
upstream,7803,6,0.0%,0.069884
illicit,7804,6,0.0%,0.069893
dutch,7805,6,0.0%,0.069902
kilotonne,7806,6,0.0%,0.069911
coroner,7807,6,0.0%,0.069920
continually,7808,6,0.0%,0.069929
communicating,7809,6,0.0%,0.069938
perkins,7810,6,0.0%,0.069947
spirals,7811,6,0.0%,0.069956
pandas,7812,6,0.0%,0.069965
genres,7813,6,0.0%,0.069974
sonar,7814,6,0.0%,0.069983
pathogen,7815,6,0.0%,0.069992
answering,7816,6,0.0%,0.070001
slap,7817,6,0.0%,0.070010
accessible,7818,6,0.0%,0.070019
steering,7819,6,0.0%,0.070028
caesarean,7820,6,0.0%,0.070037
frame,7821,6,0.0%,0.070045
hd,7822,6,0.0%,0.070054
pups,7823,6,0.0%,0.070063
brightness,7824,6,0.0%,0.070072
runner,7825,6,0.0%,0.070081
translate,7826,6,0.0%,0.070090
nationally,7827,6,0.0%,0.070099
honeymoon,7828,6,0.0%,0.070108
economies,7829,6,0.0%,0.070117
batch,7830,6,0.0%,0.070126
obstetrics,7831,6,0.0%,0.070135
catastrophe,7832,6,0.0%,0.070144
bruford,7833,6,0.0%,0.070153
nbsp,7834,6,0.0%,0.070162
voyages,7835,6,0.0%,0.070171
squirrel,7836,6,0.0%,0.070180
bernie,7837,6,0.0%,0.070189
dung,7838,6,0.0%,0.070198
grapevine,7839,6,0.0%,0.070207
earned,7840,6,0.0%,0.070216
liquids,7841,6,0.0%,0.070225
bowel,7842,6,0.0%,0.070234
tapped,7843,6,0.0%,0.070243
agnor,7844,6,0.0%,0.070251
neville,7845,6,0.0%,0.070260
helmet,7846,6,0.0%,0.070269
schoffer,7847,6,0.0%,0.070278
burke,7848,6,0.0%,0.070287
rakic,7849,6,0.0%,0.070296
rebates,7850,6,0.0%,0.070305
oils,7851,6,0.0%,0.070314
alternate,7852,6,0.0%,0.070323
porous,7853,6,0.0%,0.070332
consultants,7854,6,0.0%,0.070341
hudson,7855,6,0.0%,0.070350
territories,7856,6,0.0%,0.070359
emphasis,7857,6,0.0%,0.070368
eradicate,7858,6,0.0%,0.070377
tankers,7859,6,0.0%,0.070386
commander,7860,6,0.0%,0.070395
scrap,7861,6,0.0%,0.070404
seekers,7862,6,0.0%,0.070413
earn,7863,6,0.0%,0.070422
cirrus,7864,6,0.0%,0.070431
finches,7865,6,0.0%,0.070440
seeding,7866,6,0.0%,0.070449
pruning,7867,6,0.0%,0.070457
searched,7868,6,0.0%,0.070466
nigeria,7869,6,0.0%,0.070475
ngc,7870,6,0.0%,0.070484
charlie,7871,6,0.0%,0.070493
aviation,7872,6,0.0%,0.070502
benetton,7873,6,0.0%,0.070511
disastrous,7874,6,0.0%,0.070520
fairer,7875,6,0.0%,0.070529
establishment,7876,6,0.0%,0.070538
alps,7877,6,0.0%,0.070547
debates,7878,6,0.0%,0.070556
competitions,7879,6,0.0%,0.070565
happily,7880,6,0.0%,0.070574
bus,7881,6,0.0%,0.070583
jenny,7882,6,0.0%,0.070592
tectonic,7883,6,0.0%,0.070601
pays,7884,6,0.0%,0.070610
poster,7885,6,0.0%,0.070619
postdoctoral,7886,6,0.0%,0.070628
disturbances,7887,6,0.0%,0.070637
northampton,7888,6,0.0%,0.070646
princess,7889,6,0.0%,0.070655
simplot,7890,6,0.0%,0.070663
engaged,7891,6,0.0%,0.070672
bunch,7892,6,0.0%,0.070681
sinking,7893,6,0.0%,0.070690
counts,7894,6,0.0%,0.070699
unhappy,7895,6,0.0%,0.070708
ingersoll,7896,6,0.0%,0.070717
noel,7897,6,0.0%,0.070726
ignore,7898,6,0.0%,0.070735
almond,7899,6,0.0%,0.070744
stewardship,7900,6,0.0%,0.070753
hailed,7901,6,0.0%,0.070762
nrc,7902,6,0.0%,0.070771
vowed,7903,6,0.0%,0.070780
lieske,7904,6,0.0%,0.070789
greenhouses,7905,6,0.0%,0.070798
cdma,7906,6,0.0%,0.070807
differential,7907,6,0.0%,0.070816
administrative,7908,6,0.0%,0.070825
disasters,7909,6,0.0%,0.070834
hamsters,7910,6,0.0%,0.070843
racism,7911,6,0.0%,0.070852
complained,7912,6,0.0%,0.070861
susan,7913,6,0.0%,0.070869
stern,7914,6,0.0%,0.070878
jay,7915,6,0.0%,0.070887
revelation,7916,6,0.0%,0.070896
plateau,7917,6,0.0%,0.070905
crustaceans,7918,6,0.0%,0.070914
utilise,7919,6,0.0%,0.070923
planemos,7920,6,0.0%,0.070932
tea,7921,6,0.0%,0.070941
moral,7922,6,0.0%,0.070950
fisherman,7923,6,0.0%,0.070959
grasslands,7924,6,0.0%,0.070968
dissolved,7925,6,0.0%,0.070977
besides,7926,6,0.0%,0.070986
repairs,7927,6,0.0%,0.070995
atlanta,7928,6,0.0%,0.071004
tonight,7929,6,0.0%,0.071013
kr,7930,6,0.0%,0.071022
inhabitants,7931,6,0.0%,0.071031
macmillan,7932,6,0.0%,0.071040
shifted,7933,6,0.0%,0.071049
celebrate,7934,6,0.0%,0.071058
onboard,7935,6,0.0%,0.071066
inspectors,7936,6,0.0%,0.071075
blazes,7937,6,0.0%,0.071084
barnaby,7938,6,0.0%,0.071093
jolt,7939,6,0.0%,0.071102
meantime,7940,6,0.0%,0.071111
metric,7941,6,0.0%,0.071120
hurdles,7942,6,0.0%,0.071129
workable,7943,6,0.0%,0.071138
awaited,7944,6,0.0%,0.071147
harming,7945,6,0.0%,0.071156
survivors,7946,6,0.0%,0.071165
huggable,7947,6,0.0%,0.071174
whereby,7948,6,0.0%,0.071183
surely,7949,6,0.0%,0.071192
stonefruit,7950,6,0.0%,0.071201
sawyer,7951,6,0.0%,0.071210
termination,7952,6,0.0%,0.071219
kipunji,7953,6,0.0%,0.071228
pour,7954,6,0.0%,0.071237
malting,7955,6,0.0%,0.071246
kenya,7956,6,0.0%,0.071255
woolpoll,7957,6,0.0%,0.071264
weakening,7958,6,0.0%,0.071272
tooth,7959,6,0.0%,0.071281
waive,7960,6,0.0%,0.071290
hazard,7961,6,0.0%,0.071299
thrive,7962,6,0.0%,0.071308
milked,7963,6,0.0%,0.071317
refined,7964,6,0.0%,0.071326
emits,7965,6,0.0%,0.071335
upward,7966,6,0.0%,0.071344
variables,7967,6,0.0%,0.071353
containment,7968,6,0.0%,0.071362
exceed,7969,6,0.0%,0.071371
coordination,7970,6,0.0%,0.071380
bjd,7971,6,0.0%,0.071389
objections,7972,6,0.0%,0.071398
